ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State,Priority,Tags,Test Case ID,Module,Category,Automation Path
,Test Case,[LOGIN-001] should login with valid admin credentials,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,1,E2E; Playwright; Login; smoke; happy-path,LOGIN-001,Auth - Login,positive,tests/auth/login.spec.js
,Test Case,[LOGIN-001] should login with valid admin credentials,2,Enter email: {admin email from config},Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,1,E2E; Playwright; Login; smoke; happy-path,LOGIN-001,Auth - Login,positive,tests/auth/login.spec.js
,Test Case,[LOGIN-001] should login with valid admin credentials,3,Enter password: {admin password from config},Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,1,E2E; Playwright; Login; smoke; happy-path,LOGIN-001,Auth - Login,positive,tests/auth/login.spec.js
,Test Case,[LOGIN-001] should login with valid admin credentials,4,Click the Sign in / Login submit button.,"User is redirected to dashboard. Success toast ""Welcome back"" is displayed.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,1,E2E; Playwright; Login; smoke; happy-path,LOGIN-001,Auth - Login,positive,tests/auth/login.spec.js
,Test Case,[LOGIN-002] should reject invalid email and invalid password,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-002,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-002] should reject invalid email and invalid password,2,Enter email: wrong@acme.test,Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-002,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-002] should reject invalid email and invalid password,3,Enter password: wrongpass,Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-002,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-002] should reject invalid email and invalid password,4,Click the Sign in / Login submit button.,"User remains on login page. Error toast ""Login failed"" is displayed.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-002,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-003] should reject valid email with wrong password,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-003,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-003] should reject valid email with wrong password,2,Enter email: {admin email from config},Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-003,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-003] should reject valid email with wrong password,3,Enter password: wrongpass,Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-003,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-003] should reject valid email with wrong password,4,Click the Sign in / Login submit button.,"User remains on login page. Error toast ""Login failed"" is displayed.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-003,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-004] should reject wrong email with valid password,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-004,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-004] should reject wrong email with valid password,2,Enter email: wrong@acme.test,Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-004,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-004] should reject wrong email with valid password,3,Enter password: {admin password from config},Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-004,Auth - Login,negative-auth,tests/auth/login.spec.js
